_id,measure_id,measure_name,interval_type,value_type,measure_value,year_to_date_variance,budget_variance,decimal_accuracy,desired_direction,category,data_source_notes,city_perspective_note,year,period_number_in_year,target,note
86,1.13,Number of Personal Bankruptcies (Ontario),m,n,1511,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,2,NA,NA
87,1.13,Number of Personal Bankruptcies (Ontario),m,n,1797,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,3,NA,NA
88,1.13,Number of Personal Bankruptcies (Ontario),m,n,1777,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,4,NA,NA
89,1.13,Number of Personal Bankruptcies (Ontario),m,n,1808,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,5,NA,NA
90,1.13,Number of Personal Bankruptcies (Ontario),m,n,1532,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,6,NA,NA
91,1.13,Number of Personal Bankruptcies (Ontario),m,n,1644,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,7,NA,NA
92,1.13,Number of Personal Bankruptcies (Ontario),m,n,1413,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,8,NA,NA
93,1.13,Number of Personal Bankruptcies (Ontario),m,n,1636,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,9,NA,NA
94,1.13,Number of Personal Bankruptcies (Ontario),m,n,1671,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,10,NA,NA
95,1.13,Number of Personal Bankruptcies (Ontario),m,n,1458,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,11,NA,NA
96,1.13,Number of Personal Bankruptcies (Ontario),m,n,1645,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,12,NA,NA
97,1.13,Number of Personal Bankruptcies (Ontario),m,n,1209,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,1,NA,NA
98,1.13,Number of Personal Bankruptcies (Ontario),m,n,1380,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,2,NA,NA
99,1.13,Number of Personal Bankruptcies (Ontario),m,n,1726,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,3,NA,NA
100,1.13,Number of Personal Bankruptcies (Ontario),m,n,1724,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,4,NA,NA
101,1.13,Number of Personal Bankruptcies (Ontario),m,n,1575,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,5,NA,NA
102,1.13,Number of Personal Bankruptcies (Ontario),m,n,1590,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,6,NA,NA
103,1.13,Number of Personal Bankruptcies (Ontario),m,n,1469,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,7,NA,NA
104,1.13,Number of Personal Bankruptcies (Ontario),m,n,1376,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,8,NA,NA
105,1.13,Number of Personal Bankruptcies (Ontario),m,n,1515,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,9,NA,NA
106,1.13,Number of Personal Bankruptcies (Ontario),m,n,1496,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,10,NA,NA
107,1.13,Number of Personal Bankruptcies (Ontario),m,n,1418,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,11,NA,NA
108,1.13,Number of Personal Bankruptcies (Ontario),m,n,1557,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,12,NA,NA
109,1.13,Number of Personal Bankruptcies (Ontario),m,n,1087,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2016,1,NA,NA
110,1.13,Number of Personal Bankruptcies (Ontario),m,n,1380,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2016,2,NA,NA
111,1.13,Number of Personal Bankruptcies (Ontario),m,n,1642,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2016,3,NA,NA
112,1.13,Number of Personal Bankruptcies (Ontario),m,n,1624,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2016,4,NA,NA
113,1.13,Number of Personal Bankruptcies (Ontario),m,n,1598,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2016,5,NA,NA
114,1.13,Number of Personal Bankruptcies (Ontario),m,n,1543,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2016,6,NA,NA
115,1.13,Number of Personal Bankruptcies (Ontario),m,n,1258,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2016,7,NA,NA
116,1.13,Number of Personal Bankruptcies (Ontario),m,n,1329,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2016,8,NA,NA
117,1.13,Number of Personal Bankruptcies (Ontario),m,n,1424,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2016,9,NA,NA
118,1.13,Number of Personal Bankruptcies (Ontario),m,n,1380,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2016,10,NA,NA
119,1.13,Number of Personal Bankruptcies (Ontario),m,n,1493,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2016,11,NA,NA
120,1.13,Number of Personal Bankruptcies (Ontario),m,n,1154,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2016,12,NA,NA
121,1.13,Number of Personal Bankruptcies (Ontario),m,n,1066,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2017,1,NA,NA
122,1.13,Number of Personal Bankruptcies (Ontario),m,n,1167,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2017,2,NA,NA
123,1.13,Number of Personal Bankruptcies (Ontario),m,n,1541,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2017,3,NA,NA
124,1.13,Number of Personal Bankruptcies (Ontario),m,n,1355,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2017,4,NA,NA
125,1.13,Number of Personal Bankruptcies (Ontario),m,n,1501,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2017,5,NA,NA
126,1.13,Number of Personal Bankruptcies (Ontario),m,n,1363,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2017,6,NA,NA
127,1.13,Number of Personal Bankruptcies (Ontario),m,n,1120,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2017,7,NA,NA
128,1.13,Number of Personal Bankruptcies (Ontario),m,n,1212,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2017,8,NA,NA
129,1.13,Number of Personal Bankruptcies (Ontario),m,n,1294,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2017,9,NA,NA
130,1.13,Number of Personal Bankruptcies (Ontario),m,n,1326,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2017,10,NA,NA
131,1.13,Number of Personal Bankruptcies (Ontario),m,n,1261,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2017,11,NA,NA
132,1.13,Number of Personal Bankruptcies (Ontario),m,n,1133,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2017,12,NA,NA
133,1.13,Number of Personal Bankruptcies (Ontario),m,n,992,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2018,1,NA,NA
134,1.13,Number of Personal Bankruptcies (Ontario),m,n,1098,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2018,2,NA,NA
